study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,gemma-2-2b-it,leace_swap_max_r1_a1,mean |C_margin|,0.6558117316319392,160.0,160.0,0.48814753034175973,0.8658660152019598
A1,gemma-2-2b-it,leace_swap_small_r1_a1,mean |C_raw|,0.6649894714355469,160.0,160.0,0.5710398674011231,0.7707562828063964
A1,gemma-2-2b-it,leace_swap_small_r1_a1,mean |C_logp|,0.7271835446357727,160.0,160.0,0.6252635326981545,0.8397898375988007
A1,gemma-2-2b-it,leace_swap_small_r1_a1,mean |C_margin|,0.6374022013101822,160.0,160.0,0.46940074394910764,0.8470100089525565
A1,gemma-2-2b-it,random_ortho_1_r1_a1,mean |C_raw|,0.6819248199462891,160.0,160.0,0.5892000102996826,0.784457893371582
A1,gemma-2-2b-it,random_ortho_1_r1_a1,mean |C_logp|,0.7473843097686768,160.0,160.0,0.6468904760479927,0.8582952669262885
A1,gemma-2-2b-it,random_ortho_1_r1_a1,mean |C_margin|,0.6761593146201892,160.0,160.0,0.5048214137554169,0.8861182588797348
A1,gemma-2-2b-it,random_ortho_2_r1_a1,mean |C_raw|,0.683133316040039,160.0,160.0,0.5860763931274414,0.7894779205322265
A1,gemma-2-2b-it,random_ortho_2_r1_a1,mean |C_logp|,0.7476029753684997,160.0,160.0,0.6410890138149262,0.86418092161417
A1,gemma-2-2b-it,random_ortho_2_r1_a1,mean |C_margin|,0.6766184140474368,160.0,160.0,0.5048091974778054,0.8890535900226005
A1,gemma-2-2b-it,random_ortho_3_r1_a1,mean |C_raw|,0.6931015014648437,160.0,160.0,0.601791877746582,0.7946933746337891
A1,gemma-2-2b-it,random_ortho_3_r1_a1,mean |C_logp|,0.7402124285697937,160.0,160.0,0.6398269057273864,0.8503902152180671
A1,gemma-2-2b-it,random_ortho_3_r1_a1,mean |C_margin|,0.6671405388758733,160.0,160.0,0.5042357872693967,0.8670993473285281
A1,gemma-2-2b-it,unedited_r0_a0,mean |C_raw|,0.693902587890625,160.0,160.0,0.6002238464355469,0.798621826171875
A1,gemma-2-2b-it,unedited_r0_a0,mean |C_logp|,0.750779640674591,160.0,160.0,0.6483320605754852,0.8631309744715691
A1,gemma-2-2b-it,unedited_r0_a0,mean |C_margin|,0.6780897134389633,160.0,160.0,0.5104163642113025,0.8853619968279813
A1,phi-4-mini-instruct,-,"reproduction: corr(C_raw, stored C)",0.9157099889182133,,,,
A1,phi-4-mini-instruct,-,reproduction: median |C_raw - stored C|,0.125,,,,
A1,phi-4-mini-instruct,unedited_r0_a0,reproduction: mean|C_raw| / mean|stored C|,1.031578947368421,,,,
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,reproduction: mean|C_raw| / mean|stored C|,0.962962962962963,,,,
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,"mean logit shift (patched - clean, mean over vocab)",0.006573790962647763,160.0,160.0,-0.013345909803019822,0.02528266325885852
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,log-partition shift LSE(patched) - LSE(clean),0.026422905921936034,160.0,160.0,-0.02979569554328918,0.08281084120273588
